wikipedia_url,origin_place_raw,origin_start_year
https://en.wikipedia.org/wiki/Dale_Ann_Bradley,,
https://en.wikipedia.org/wiki/Ash_Bowers,"Jackson, Tennessee , United States",2003
https://en.wikipedia.org/wiki/Logan_Brill,,
https://en.wikipedia.org/wiki/Sean_Patrick_McGraw,,2005
https://en.wikipedia.org/wiki/Arum_Rae,"Brooklyn, New York, U.S.",2014
https://en.wikipedia.org/wiki/Matt_Lang,"Maniwaki, Quebec , Canada [ 1 ]",2015
https://en.wikipedia.org/wiki/Mitch_Zorn,,2018
https://en.wikipedia.org/wiki/McHayes,"Nashville , Tennessee , United States",2003
https://en.wikipedia.org/wiki/Leahy,"Lakefield, Ontario , Canada",1980
https://en.wikipedia.org/wiki/Harrdy_Sandhu,,
https://en.wikipedia.org/wiki/Duane_Steele,"Hines Creek, Alberta , Canada",1984
https://en.wikipedia.org/wiki/John_McNicholl,,2004
https://en.wikipedia.org/wiki/Kate_Mann,"Portland , Oregon , United States",1995
https://en.wikipedia.org/wiki/The_Road_Hammers,Canada,2005
https://en.wikipedia.org/wiki/Zaca_Creek,"Santa Ynez, California",1989
https://en.wikipedia.org/wiki/Chuck_Wagon_&_the_Wheels,,2000
https://en.wikipedia.org/wiki/Green_River_Ordinance,"Fort Worth, Texas, United States",2000
https://en.wikipedia.org/wiki/Levi_Parham,"McAlester, Oklahoma , United States",
https://en.wikipedia.org/wiki/The_Hutchens,"Sandy Ridge, North Carolina",1994
https://en.wikipedia.org/wiki/River_Town_Saints,"Arnprior , Ontario , Canada",2013
https://en.wikipedia.org/wiki/Laurel_and_Hardy,,
https://en.wikipedia.org/wiki/Rio_Grande,,
https://en.wikipedia.org/wiki/Alabama,,
https://en.wikipedia.org/wiki/Jim_Hurst,,
https://en.wikipedia.org/wiki/Christian_López,,
https://en.wikipedia.org/wiki/Adam_Brand,,
https://en.wikipedia.org/wiki/Tom_Leahy,,
https://en.wikipedia.org/wiki/Due_West,,
https://en.wikipedia.org/wiki/Van_Zant,,
https://en.wikipedia.org/wiki/LATAM_Cargo_Colombia,,
https://en.wikipedia.org/wiki/Adam_Gregory,,
https://en.wikipedia.org/wiki/Old_Dominion,,
https://en.wikipedia.org/wiki/River_Road,,
https://en.wikipedia.org/wiki/Sparx,,
https://en.wikipedia.org/wiki/Leen,,
https://en.wikipedia.org/wiki/Breland,,
https://en.wikipedia.org/wiki/Jonathan_Jackson,,
https://en.wikipedia.org/wiki/Great_Plains,,
https://en.wikipedia.org/wiki/John_Richards,,
https://en.wikipedia.org/wiki/Eagle,,
https://en.wikipedia.org/wiki/John_Duncan,,
https://en.wikipedia.org/wiki/Windward_and_leeward,,
https://en.wikipedia.org/wiki/Connor_Smith,,
